bib,source_identifier,page_number,hit,n_matches,primeiro_span_texto,primeiro_span_offset,regra_versao,extraction_run_id,result_status
103730,per103730_1911_00001,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,5,1,2,caixa deconver,15254,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,8,1,2,caixa de conver,3583,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,13,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,14,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,15,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,16,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,17,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,18,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,19,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,20,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,21,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
103730,per103730_1911_00001,22,0,0,,,triagem/nome-caixa-conversao 1.0.0,25,ok
