bib,source_identifier,page_number,hit,n_matches,primeiro_span_texto,primeiro_span_offset,regra_versao,extraction_run_id,result_status
089842,per089842_1913_05084,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,2,1,1,caixa de conver,18305,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,13,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05084,14,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05085,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05086,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,1,1,1,caixa de conver,5338,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05087,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,2,1,1,caixa de conver,22191,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,13,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,14,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,15,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05088,16,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05089,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,6,1,1,caixa dc conver,17950,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
089842,per089842_1913_05090,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,9,ok
