bib,source_identifier,page_number,hit,n_matches,primeiro_span_texto,primeiro_span_offset,regra_versao,extraction_run_id,result_status
178691,per178691_1907_05254,1,1,1,caixa de conver,36585,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_05254,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_05254,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_05254,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_05254,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_05254,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_05254,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_05254,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,2,1,1,caixa de conver,19282,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08125,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08126,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08126,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08126,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08126,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08126,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08126,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08127,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08127,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08127,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08127,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08127,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08127,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08128,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,2,1,1,caixa de conver,37090,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,5,1,1,caixa dc conver,31149,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08129,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
178691,per178691_1907_08130,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,28,ok
