bib,source_identifier,page_number,hit,n_matches,primeiro_span_texto,primeiro_span_offset,regra_versao,extraction_run_id,result_status
089842,per089842_1908_02362,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,13,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,14,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,15,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02362,16,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02363,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02364,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,1,1,1,caixa de conver,20653,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02365,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,7,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,8,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,9,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,10,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,11,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02366,12,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02367,1,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02367,2,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02367,3,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02367,4,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02367,5,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
089842,per089842_1908_02367,6,0,0,,,triagem/nome-caixa-conversao 1.0.0,4,ok
