source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per103730_1911_00001,1,ok,21005,a952bd2499340bb303ba8a008e6e92fbdcf20aa3756656e2f29e81721219fa89,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p001.txt
per103730_1911_00001,2,ok,26857,f5380ccef98fed852f187bbfc8138b267052ba4cded2d164e27fcb35b0243462,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p002.txt
per103730_1911_00001,3,ok,25860,54e20545aad3547b796fff72bef91cc1be28eb6a79ec4e8d6dc0fc10f1c57cf2,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p003.txt
per103730_1911_00001,4,ok,12307,136c2806bf60d5a4cf3031b13a57ebc5d43219bb4d007492b87efd137bb6492e,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p004.txt
per103730_1911_00001,5,ok,47586,e50762d1ba052e405a45fbe918d528b7022d6b9e3c5f5495d1d2c00ece3b7ec7,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p005.txt
per103730_1911_00001,6,ok,41289,f698ac724f00d737e17a42d5572d4d543c1e70881463ab9de7461778f4facbd5,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p006.txt
per103730_1911_00001,7,ok,47429,e4d4b8f4bac94940d360a6525404de29b17c14875548b086f7888e87c06096f0,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p007.txt
per103730_1911_00001,8,ok,47688,9a5c5ee77fa6730dad5031c08afc6c57024825f26ebfd4d187c4ea4a8523cd8a,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p008.txt
per103730_1911_00001,9,ok,37416,160f4ed40ab495a0a84022d5bd24cab92a6afb2585dec212d951eb48955e220c,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p009.txt
per103730_1911_00001,10,ok,35909,a9ad6d4ed034421ccfa7da76bf20e501a5a78d3b2f09a423b6763dfb4e82a4dd,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p010.txt
per103730_1911_00001,11,ok,5487,3e00bbc573b2a36279e526d67f3e5cba48e526653bef3a75c426911d0cebcb00,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p011.txt
per103730_1911_00001,12,ok,4188,4751abef4b896fb84d9d3eb5e2450af3fe9bd2c454102026105f91ad2d7fb0fd,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p012.txt
per103730_1911_00001,13,ok,2872,b7891058da9b6cfe5cf686f0077b344e6869c294a6c0e077bf056328b3f9b2f0,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p013.txt
per103730_1911_00001,14,ok,3097,54054c921068f4b0b97d223567047b49552a98034b4805fbdcf959b5f699482a,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p014.txt
per103730_1911_00001,15,ok,6665,18a9e1957c949aaecff9b73ff1adef77b8c3d3545a6d80eb89e6fddd5725c609,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p015.txt
per103730_1911_00001,16,ok,3715,4357a244dc26b7b0453c32ad2d74eaf1dbe5e8c09ef4cd31543a1539f0c9e576,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p016.txt
per103730_1911_00001,17,ok,2298,16e276d6d6ed944f6ca8f450e7bd8c4a1a82adbc5e00240aa8da757d3ed91dfd,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p017.txt
per103730_1911_00001,18,ok,4206,b5d98460f237dfdb1ad2f86a88d087b9e3fbd5120710c0e209a62bf1b0d09491,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p018.txt
per103730_1911_00001,19,ok,19347,c87dcbf1054fe8068979978392d836da76976fff29c0a8cb5ac11b877bebfc2c,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p019.txt
per103730_1911_00001,20,ok,11433,2d4322e77c04c15322a914f49f1dcc746a567c0fe8003482aaf54981ad458a00,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p020.txt
per103730_1911_00001,21,ok,299,99a6f74c0b0a42183b262c31e3717ee28f40359ca6f1aa9a9641724659135e48,a67c77c30a3ffe64c921afb7046103313213fb6fff986fc4fbd570b6506f4214,103730/per103730_1911_00001/p021.txt
