source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per178691_1913_10314,1,ok,35698,38c25366bab09295759833b2d25e2f06e3188cde0860e21a37c77d5c1dda3332,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p001.txt
per178691_1913_10314,2,ok,28881,e91a4980a5cd20093b3e908e67c414d211f8d49d1df752644664193b6ba87eca,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p002.txt
per178691_1913_10314,3,ok,20644,2f8a66921f78c74985f00f7de7bbd424f61de2c604c05d89e4f10f00a8a82fe7,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p003.txt
per178691_1913_10314,4,ok,32998,9b70149620d0a5500239d1db1904c207262e49814e1eb6656e506c0ef42a81eb,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p004.txt
per178691_1913_10314,5,ok,40361,9a005cdac892e51a5c99378b5e82dc4fbddc5b77a486a0f6361b683d78e205a0,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p005.txt
per178691_1913_10314,6,ok,29931,cf7a5f3bf5f27ea9d96160bfa5d61e2e68bb126ba29769922cd7d0605857b4e7,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p006.txt
per178691_1913_10314,7,ok,32931,4c09a9e812e5e4533971bc12c3567fbef4fa5917f6edd16f39ca2f3f33b47828,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p007.txt
per178691_1913_10314,8,ok,34929,92d39d5aff225f56b5429705783ca93765d0ff93d4773a454cba625fa5bc1629,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p008.txt
per178691_1913_10314,9,ok,39910,a2dac0ba7bf613d7bfe2e9a140b518e9047fdbac27063cc94b089562977e94c8,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p009.txt
per178691_1913_10314,10,ok,33993,7369ac9ef40ba9a6f0c7d52f18f8f7b9bb2ab65db33aa07aa138fe5e64d60422,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p010.txt
per178691_1913_10314,11,ok,35234,d7aef6c640ceda2cb9ce54bda3b1a1b0c858eeb21086504de965444614286f9a,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p011.txt
per178691_1913_10314,12,ok,25414,5ec013eba9c7eae78b49d0facbf1082c3fad85d34db7cca1ecd82b1f2acd5236,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p012.txt
per178691_1913_10314,13,ok,17044,512a6b979671a44758a52bdc3bf90d0cfe756a5eb1d8eca463fe4cfa7d0ccf3e,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p013.txt
per178691_1913_10314,14,ok,12405,9eca6b595b4fb55b8029f77f871df58045e867278ed36f450569590024a9b3fe,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p014.txt
per178691_1913_10314,15,ok,26368,864d1a4f35ee17df60ecff4a3ab5397ed6d700c76de9105ca70bc2a9edfdfbc6,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p015.txt
per178691_1913_10314,16,ok,26745,b45dc6c545237d15a5ce164be5b82c7eef7e8ae8c35f46e7bcbc52c4909d9758,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p016.txt
per178691_1913_10314,17,ok,41067,c710c729c3d7882cbb782259aefc3892931e26db32cca5579e2c0686d538c5d1,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p017.txt
per178691_1913_10314,18,ok,41593,655aee80c5129fb78e9487c15adb39fe49b82afac6b2cef2742af937f9cadc89,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p018.txt
per178691_1913_10314,19,ok,43159,d912775114b4001ec5b920830c68e0c55a160ae82e14db133508943d405ed458,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p019.txt
per178691_1913_10314,20,ok,51468,91965a5166a6c59633d89dc73f74447628b5b637050b8cd747ff7425a325f48b,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p020.txt
per178691_1913_10314,21,ok,51195,310f7ebcb6bb08a0eec40d82bca8588035aa50e16b2ae09ae6f10e90be4fbcda,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p021.txt
per178691_1913_10314,22,ok,20247,b17f198cb2515266d8bd5f37dfc000a44d953b967f197a17c9038d72898c507c,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p022.txt
per178691_1913_10314,23,ok,23633,5a2791489a84078837f0b328b4759a34383d0b0eddc2fe080c0bf87f3a930373,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p023.txt
per178691_1913_10314,24,ok,1489,a557df3c89eac29fbbe0281579df33029488157858052685022a9e6d26c1a449,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p024.txt
per178691_1913_10314,25,ok,4585,350e7590cc9a30beb4217128016a4bc5328049db7928528b26a591ce1ef9bb58,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p025.txt
per178691_1913_10314,26,ok,1816,ba7d2a3050371de54b6488c6c8fa48eea8facc831f1387e7a67c43ab0c05da9b,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p026.txt
per178691_1913_10314,27,ok,6190,a6b4f9f8170c9bf0245497e4cf7f5c98e2391eb87846fd1771ed180fe4c20292,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p027.txt
per178691_1913_10314,28,ok,21189,f4ecf4f2f0066994351b8277b8cc0c8530b7ad10cc81cf3e689077be0617705e,a0f0349ec2a99b03eae5240d4f91f15f0737b48b40b2af95148712bb9492e5c8,178691/per178691_1913_10314/p028.txt
per178691_1913_10315,1,ok,35023,78e71a5cb76f0a7a464bd0e321eef7edf7a1b509f756e3e6cb6a2ed2809d217a,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p001.txt
per178691_1913_10315,2,ok,26644,9fcb8c643ef56e3b24d0a180f59d012d1882b338e91e05e0a68d40b0d9ab170f,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p002.txt
per178691_1913_10315,3,ok,36775,4f345ed588a009da56b770086fd68c25c4aee1e5d4451ca0f2aea0859bd34ab4,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p003.txt
per178691_1913_10315,4,ok,45136,600e5a5501fb243e97c8a203ddc552a6b2a2c49711ebfcdd91ebfb1480557b69,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p004.txt
per178691_1913_10315,5,ok,33773,8b04f71c186fe1d1ea52d07d168dd70e0c2525e989b52b7fb363ce84f3836370,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p005.txt
per178691_1913_10315,6,ok,36639,248fe8d6275f9699e7c600a94cb46d3bd8df5401bc059a23f24d77985af54707,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p006.txt
per178691_1913_10315,7,ok,39746,ec7d2d38b3ee844a82189c96422ca81b974d610efb19dc1dfef6d6cf133a4e26,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p007.txt
per178691_1913_10315,8,ok,25883,4313519bc4ed47fc960af2787dd1f432de06f791bf2262f6aa8b0e080e035a6f,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p008.txt
per178691_1913_10315,9,ok,19505,9be020167f323d9a1025dcb9075ffcaa299058fd5f30f1aa75fa675e34f93743,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p009.txt
per178691_1913_10315,10,ok,16279,a32792098605522a7b4807b191f1f2bc5fd24f247908f0ab40960158ed3849f6,935fe91ef92ade4b015b814187d01f17603051dc06a8a8483f1cac4851029ae8,178691/per178691_1913_10315/p010.txt
per178691_1913_10316,1,ok,35056,6bf53a7f6038f61ca8db972221d1467eb96e1219e7162a9abe50e5645da54ae2,747a2fa825a7b48b71d8dabdb4a7cbe7312b0f834c4be226b24a8da932f3d4a1,178691/per178691_1913_10316/p001.txt
per178691_1913_10316,2,ok,41344,fd68c46059aa82a9319503b084b38f17e259fcf9bfa528017a75d5eccb33926b,747a2fa825a7b48b71d8dabdb4a7cbe7312b0f834c4be226b24a8da932f3d4a1,178691/per178691_1913_10316/p002.txt
per178691_1913_10316,3,ok,38242,b3ee3174414176ce72480c2f858c37b98e04e3e2d6b4d09f37fffec4ff601dc6,747a2fa825a7b48b71d8dabdb4a7cbe7312b0f834c4be226b24a8da932f3d4a1,178691/per178691_1913_10316/p003.txt
per178691_1913_10316,4,ok,40094,28b2e4b5a8a6c1ae84e0688aeb9e211faaba047c574a3ae14dda40a3e22766a1,747a2fa825a7b48b71d8dabdb4a7cbe7312b0f834c4be226b24a8da932f3d4a1,178691/per178691_1913_10316/p004.txt
per178691_1913_10316,5,ok,34152,d13dae14b94a927bf44fb986c26642cfa354cf8c5cd0861a714dc328f88f3ba6,747a2fa825a7b48b71d8dabdb4a7cbe7312b0f834c4be226b24a8da932f3d4a1,178691/per178691_1913_10316/p005.txt
per178691_1913_10316,6,ok,43799,1ee0e8e77665bf82b9924f48e3166e8ba4fea9014e3ca27ad4cba90a6818d6f8,747a2fa825a7b48b71d8dabdb4a7cbe7312b0f834c4be226b24a8da932f3d4a1,178691/per178691_1913_10316/p006.txt
per178691_1913_10316,7,ok,44437,84ddca7b8a982f1042a8ecaf24fe7a02153bf87a0283e888e3bb4d4f08032658,747a2fa825a7b48b71d8dabdb4a7cbe7312b0f834c4be226b24a8da932f3d4a1,178691/per178691_1913_10316/p007.txt
