source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per090972_1913_17760,1,ok,20213,20e253a37d39313c62ac48fb4d6b62ff9f8d4dedc0216a3f838045d213ca632a,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p001.txt
per090972_1913_17760,2,ok,38024,9fa4d5baf0c02b08fea3fbd8f6050e4ce5fb959b53db9cdd5aae047840ab1165,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p002.txt
per090972_1913_17760,3,ok,43096,b9b5d18c18453c495e12a8001ff662a5e3abced3a11b88769fb6ac901bb5f7a7,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p003.txt
per090972_1913_17760,4,ok,40632,1b6f9e04a29ae8100d06cb2128abe9d876ce3b87866ba0ada9801e048bad9b0f,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p004.txt
per090972_1913_17760,5,ok,41672,0cd3a0f57bb112041a278ebaaf8cc1fcab37e41d18df500fc95ca6e8835c9524,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p005.txt
per090972_1913_17760,6,ok,32868,660f4cb50b01a760edcb0d4548f5a208538e4d4ae0b4663e681dfad5a740f860,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p006.txt
per090972_1913_17760,7,ok,41176,5703dbc30411c2915e44ec35b9ec4c1f3306523c021fa2562794b46b3ebfbe87,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p007.txt
per090972_1913_17760,8,ok,32199,34c6e57936d902f6d5428e578c2c19a50895bd4f4b9540b27c0cecb2c84dc826,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p008.txt
per090972_1913_17760,9,ok,29436,8b778187bbc16d6d0c4755d8721150a6b29a3b64daf9db582954e0735aabbfcf,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p009.txt
per090972_1913_17760,10,ok,13540,4e0b415a4d2e350716120d570cfb32d1857bfa316084698ffe1feb28692a5a5f,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p010.txt
per090972_1913_17760,11,ok,6151,8d100344d4ea594746f24f3e351997d17d4e42243f4b0088db450e14a69ce178,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p011.txt
per090972_1913_17760,12,ok,12062,511c4aaa3d2789d46cf621233eaefcfa1a94615c2d8d2d52d1d899a5751e4faf,ce6e8cf446b3d8070d2938a209a285ec49fb08be56c15a276bdc61f5c2bd0c4d,090972/per090972_1913_17760/p012.txt
per090972_1913_17761,1,ok,29136,087603f48fddabb68acfaf4f8b5bcb8a4bac35d97cc3a8ef58e00da39c4edf88,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p001.txt
per090972_1913_17761,2,ok,42226,470b682c4d134829f79da7b85cb1c00ab0015d971cbcf4bc354ac0d2bb6e492b,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p002.txt
per090972_1913_17761,3,ok,37055,1a92d547c6c97d7f177246dc8ef6bb3b60bdb08f875d4bae8926d71fa190e004,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p003.txt
per090972_1913_17761,4,ok,34288,14bc4d27f1ae4ec51a8fc772ca3cd0e77de47ef8ba27233e421ea706dce08690,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p004.txt
per090972_1913_17761,5,ok,38881,2e9f7748cc7a908db8bfeeab9ca675989e3b001d8e2f37c6d242890653196218,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p005.txt
per090972_1913_17761,6,ok,33233,ac9d43434fe9bf70c8e75b79a844d16e4b0b4c17d69b66382721f53bc81d85c1,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p006.txt
per090972_1913_17761,7,ok,15170,f0c797f10c45b9e76edcdb995b09f18545a00c44260909da1b21445762eda3fe,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p007.txt
per090972_1913_17761,8,ok,13934,fba20945db6e68d7710f2d55d5b237cb16b7a0eaa48fc45fcc3aef8ad4ef3a5d,3657f608566d1552bbcf78c45e1ded99447d3a214801ff1c1a65a6da3c3d01fa,090972/per090972_1913_17761/p008.txt
per090972_1913_17762,1,ok,30952,4537e82d71f2097b0e9e6c80867a7c9bd276f242caffc5534035b2a9eff1dd67,2dcd4f0e04d476a79a1b1e2f374ffb48ac6657fe0a7b6ec279c19823b533005b,090972/per090972_1913_17762/p001.txt
per090972_1913_17762,2,ok,33302,ffda0091f86feb94ba97e48fa3bf484e2f2cfead2b011cbcb28a99582b9f3bc4,2dcd4f0e04d476a79a1b1e2f374ffb48ac6657fe0a7b6ec279c19823b533005b,090972/per090972_1913_17762/p002.txt
per090972_1913_17762,3,ok,41607,212da773895e8dc315042c17967e62443fb69ba285810d3bde092cc143adbfd2,2dcd4f0e04d476a79a1b1e2f374ffb48ac6657fe0a7b6ec279c19823b533005b,090972/per090972_1913_17762/p003.txt
per090972_1913_17762,4,ok,39137,407a39db6473647b37397d2ffaa027031c4a62b06e0570e3540ab2f8a6143e32,2dcd4f0e04d476a79a1b1e2f374ffb48ac6657fe0a7b6ec279c19823b533005b,090972/per090972_1913_17762/p004.txt
per090972_1913_17762,5,ok,32682,80cd5378360112bd34cc47c1c4d4bfa7bc1db9f1864cc113c495e5b56e398615,2dcd4f0e04d476a79a1b1e2f374ffb48ac6657fe0a7b6ec279c19823b533005b,090972/per090972_1913_17762/p005.txt
per090972_1913_17762,6,ok,31519,034d8878e939166b9238c14029ac2a85082536e535ab2f70b7bf987fa8a07dbc,2dcd4f0e04d476a79a1b1e2f374ffb48ac6657fe0a7b6ec279c19823b533005b,090972/per090972_1913_17762/p006.txt
per090972_1913_17762,7,ok,54683,38a1952bfc323b1ca35e004823f7c7c929fa010885d067236fc868718a0d667b,2dcd4f0e04d476a79a1b1e2f374ffb48ac6657fe0a7b6ec279c19823b533005b,090972/per090972_1913_17762/p007.txt
