source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per090972_1906_15229,1,ok,41213,57bd7f8814f63d24cc3fa7da9e5f9f1a475552f5726e1fd36efb41d2b070fc68,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p001.txt
per090972_1906_15229,2,ok,57035,4f95f7b79dc01d1c5742c05c6440095018a911c96f1d1b95c8b19d26b2ed861f,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p002.txt
per090972_1906_15229,3,ok,44567,d21183a289857b94a4212b9de63503d763302fa139ebdb8f641112893df94b58,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p003.txt
per090972_1906_15229,4,ok,19682,879d534b57f33ff7040c3d564e3159da339c6e0328d057031a94365403ee12fb,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p004.txt
per090972_1906_15229,5,ok,11243,642d4eb8f0a2538ecba2b82f9e350de1c2eefc973a9b5abad6e78825c80b1b95,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p005.txt
per090972_1906_15229,6,ok,8093,f7776361290d8ad91b0444910ae70ec920a705b1cef4574f29872060722643ad,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p006.txt
per090972_1906_15229,7,ok,15160,1e81a03a2be8b0817201edb360b5b8d2f981fd506c845436960897ea6a43764a,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p007.txt
per090972_1906_15229,8,ok,7004,c7156a270bff3f62614bd105f100a9ba4eac11cf41e1750b9a075211f8e0f841,9bc997d62245a96ae06d1c64ca073da19fa33dc0e884b3e1c97288741ad71e71,090972/per090972_1906_15229/p008.txt
per090972_1906_15230,1,ok,41853,7bd39ad8d477513844771f3b0fc8bac2e220b04d25ae2b0f70518094bab71465,d22dad23b517f68b41e110bc71acd92a7447d9d45e089e9d023af5043e1a83ac,090972/per090972_1906_15230/p001.txt
per090972_1906_15230,2,ok,49435,fd783ec4359c15d5b1d36517d21d17af0459e6792489ae747465a8c848f4dba1,d22dad23b517f68b41e110bc71acd92a7447d9d45e089e9d023af5043e1a83ac,090972/per090972_1906_15230/p002.txt
per090972_1906_15230,3,ok,44780,7c8ebcfe5da40ef4ce469930c4c4a9154251422b266040cfd2b026c3432ad3ff,d22dad23b517f68b41e110bc71acd92a7447d9d45e089e9d023af5043e1a83ac,090972/per090972_1906_15230/p003.txt
per090972_1906_15230,4,ok,21066,2171b35bc2148ee9e3e49563171dbc28f97bed295c4c1f7484f32eb25537aada,d22dad23b517f68b41e110bc71acd92a7447d9d45e089e9d023af5043e1a83ac,090972/per090972_1906_15230/p004.txt
per090972_1906_15231,1,ok,37900,2d682ec0f53c4c5c7d44574ba9885f5d917fd1412d7f03a288546d049959810e,5169ecc2e5e7e5d7031581151f92c3736f97135c9364754266b57e94c6533191,090972/per090972_1906_15231/p001.txt
per090972_1906_15231,2,ok,45017,14ea0263964cd66ee72e252a5e835cb2783169985cb4b0b3b37b1c6c25387dc6,5169ecc2e5e7e5d7031581151f92c3736f97135c9364754266b57e94c6533191,090972/per090972_1906_15231/p002.txt
per090972_1906_15231,3,ok,54995,303e48fac1a470f9a7ff33516c2f1f9a67864cdf957ca99fad973a6db2870d53,5169ecc2e5e7e5d7031581151f92c3736f97135c9364754266b57e94c6533191,090972/per090972_1906_15231/p003.txt
