source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per089842_1914_05450,1,ok,33906,4eb41849dfb8c2e6c1c4626d2242d7faa8fe216ca6d1ca3c235d33db579d2f49,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p001.txt
per089842_1914_05450,2,ok,43485,bc558b9cbbaa576622f805fd3602145cee63582b14728c483fb6e7c6ed61313b,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p002.txt
per089842_1914_05450,3,ok,33068,d96212f409e479906144e1f2e52a2c612dafae75cad7ecba7af5b55ee6e2d524,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p003.txt
per089842_1914_05450,4,ok,35297,a6a4865f732a798ee4028efa46e1cc6b82df29fc253e2f0c283ac12ea09f4599,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p004.txt
per089842_1914_05450,5,ok,37593,2ffe83a77673a6629b97b7ec99d1083fbf741f0c3d64bbb71b6a28c84732900b,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p005.txt
per089842_1914_05450,6,ok,44064,0fd21d2b7a62ebdaaa9f49f5c45a778a1cfceb144bc6bc45032d2dd151970a1c,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p006.txt
per089842_1914_05450,7,ok,36171,92069732db8174c3519b1b260fe2114b7a3d0174c1132b5507ab1240531f0f30,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p007.txt
per089842_1914_05450,8,ok,47426,47ec5be69042490238ee6f138ae70d64cff62cc089ce76d4c8bbc97944b228db,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p008.txt
per089842_1914_05450,9,ok,43554,bc84bd438c4911de4853d029f7202dad7658ceee2fed6ffb1014f5c7a9dfaea2,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p009.txt
per089842_1914_05450,10,ok,43824,c43641537c489139e8513fb1306b5137e3053956a927a059a29b93c18e03a760,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p010.txt
per089842_1914_05450,11,ok,42004,f7e3f42bf6645e6e4ca4739e5e8d7023724d4863c6abbd7a3c7a73282c84d869,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p011.txt
per089842_1914_05450,12,ok,48984,da69331d756a99b36aa7a742167ec0a0eab3eb107840cdd57c6f76c72a6bb19f,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p012.txt
per089842_1914_05450,13,ok,20703,5074b47acf9e8592bcb63855a4a5ba8378295b83a3da2bb216d2d69fb48f2957,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p013.txt
per089842_1914_05450,14,ok,46564,67d24b9e01fc4806ccc955427b9f7c7008c36c4b6138209bc3f4c7141ec88ac7,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p014.txt
per089842_1914_05450,15,ok,13366,46c5ee34b24d0ea171e7cf8c1c61131bddeaf348bfd9b5110469c577bc2a6e2b,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p015.txt
per089842_1914_05450,16,ok,39714,03d5e9d37881fe044a1514950d0434fa48b4879380e71e53fb3cf68a3f84774a,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p016.txt
per089842_1914_05450,17,ok,31521,51cbabadda1dbaf6f944949b04773105dbe991645f9df17690b3a81491e4e2c5,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p017.txt
per089842_1914_05450,18,ok,54185,633e8e0ef7947e0e2c7bac7df48787bded5143e08ab3186549d022a6bdbae4dd,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p018.txt
per089842_1914_05450,19,ok,29288,a949d51791551c2f55b9173c5b19d462bdcdccdcbf3e22571fc6b25578a48d6f,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p019.txt
per089842_1914_05450,20,ok,34749,29cc9c8ecb30d0819900f1198b63cffca5f6bf97784fb499a81ed1b640a60c22,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p020.txt
per089842_1914_05450,21,ok,42899,910583a53a25899a968a9d7ce6587d2b5a495fbf9ca77c1aa9d0e7a7594423ac,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p021.txt
per089842_1914_05450,22,ok,15566,287f9b16af6633267b5dc93be1e9926d9056f5989aa245142205486ce6c930f7,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p022.txt
per089842_1914_05450,23,ok,18712,eda4fd180e2ffaafc80ea1e58b97b15907d0ad1e9861596d1a21200f8b58292e,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p023.txt
per089842_1914_05450,24,ok,23496,d199804086b0fd74fee3c5a472349aac9386b92bab328eb8a944e2fc3ffa522d,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p024.txt
per089842_1914_05450,25,ok,2774,d0a55fd93ce010dbe74478a7973866288fb104769b726ce5798a2c7c2a2a2541,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p025.txt
per089842_1914_05450,26,ok,1650,d4a3c45ee34c9ebd71535e1ac4ea3cd57ae4c4378d8d86c8d32628f4f9d67c3f,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p026.txt
per089842_1914_05450,27,ok,9943,f45992c5083fe854f30ac7a111167883462522b7312c1df6f22ede590de4165a,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p027.txt
per089842_1914_05450,28,ok,951,5c2492f6f707080a0a752742da82a3f06e6c936b516ae58b87f69c3995ba041e,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p028.txt
per089842_1914_05450,29,ok,25533,a934a92cd04712fd7c7acb2b18e21fcf249a1c93dc620e74a8a4dee40acaf7ce,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p029.txt
per089842_1914_05450,30,ok,1026,3fcf3dea23a723858c42400927b32c4d4d4c338bb4b068c0e7d03815a7d067d8,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p030.txt
per089842_1914_05450,31,ok,29616,709b565a39a6b65355db77114e067b52a30b7a0631649c3fd10203cc63252189,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p031.txt
per089842_1914_05450,32,ok,23610,a3153dad8f77ecc3ef2c2bdf414dbfe1f06c940a0cb37d3fc100536ac51d02b9,586a3c6d9c578c7a09ceb4f55beb0bec0ea214bde943262ce830fd50ad37910b,089842/per089842_1914_05450/p032.txt
