source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per089842_1908_02362,1,ok,47153,c3d331b17ce6973b439900d2609fbc57102eb6b3ae289bc733896d159b4d247a,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p001.txt
per089842_1908_02362,2,ok,42556,e489268aacba3de0747713d49d577baff14d7701ed94e38dbc7a80af86c02cff,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p002.txt
per089842_1908_02362,3,ok,54937,215748f7ef05b89148c44186956ab4c55b1a7bdcb7e0bdb12eaa2f0c412b4437,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p003.txt
per089842_1908_02362,4,ok,51290,b1a0ee66c554fef4cd632f35955ea5fdcc2b6af7c55775e47c5288b307dbbafc,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p004.txt
per089842_1908_02362,5,ok,28830,33ee5907bff2ce91b2b37d3e21b3a45084887058f75c55d77107dd066265f06b,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p005.txt
per089842_1908_02362,6,ok,28855,34a8a635039aeb3fda4d89c37c7bcc3b2169e2df3b5ba7f6ec80dea50654c52f,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p006.txt
per089842_1908_02362,7,ok,36289,9d4082bb7115d7d0631ab0b0d69802648e76b13910a7e87a9910051465a65e58,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p007.txt
per089842_1908_02362,8,ok,42250,dbbf970daf0f45cdafdfaae2baa57363ee1911ced11e4f3a5267f57b772d94f0,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p008.txt
per089842_1908_02362,9,ok,6813,c65a5024629a87801408715f87f713045d087cceb2090120513e9a139694d2ff,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p009.txt
per089842_1908_02362,10,ok,27919,28d40d03837ff05bc333ee5fed2bc388894d83b57e771671ffc62a8fac485be7,90dd2e0b025dd46c12cc52f2c9b5013d8ba2dd07f95df3a00cc77f286542d776,089842/per089842_1908_02362/p010.txt
