source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per090972_1912_17395,1,ok,46606,5540e9f62f1b8d6dcb69fda49095609945b9e5801d3f1a1ab17e8f6b11f37735,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p001.txt
per090972_1912_17395,2,ok,43803,01023a59365a139a57932fb064122e78f8316064fc1df42733db59a158ffc077,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p002.txt
per090972_1912_17395,3,ok,44572,334c4a3de9a23c19f53e03f7b56e4ed4f8a2891abf48ae3ac578bd9fc68019f6,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p003.txt
per090972_1912_17395,4,ok,39593,0605291edd6eaf945280e6351258484b1473fd81376b3fbb37a35ce57570eb46,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p004.txt
per090972_1912_17395,5,ok,33383,db8d1bc702fcd93d3ac5f1e21c81aadec0ad34d6452d8f6db48fa4a29efb73c4,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p005.txt
per090972_1912_17395,6,ok,31235,d0baddda3ab4d304cf506c3dd138397d094e5d068881cf9835a6be3927375bdd,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p006.txt
per090972_1912_17395,7,ok,36783,a5ec90d68c62cc73c5286e30cbe005d9d7a5b37abdcad8c9db64207598442698,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p007.txt
per090972_1912_17395,8,ok,15891,25cc8a40482db9fccc71a3674ad2a9fd6ef282e2c062fc59378091e14ea68789,265f819bdd52f297edaf3b5bc54307dc772489dacd45a4aa46046f0a4c40f15d,090972/per090972_1912_17395/p008.txt
per090972_1912_17396,1,ok,37212,f5c375aeae69e395f158f40263116edc828f4d95e717dc18548c7cc31cfb2d5d,1db9d20b427561c58b39f3446710417eec38370a6657ec455d3d9b65a6b79d6e,090972/per090972_1912_17396/p001.txt
per090972_1912_17396,2,ok,44108,70d4c83ebf89324425d9df5c52d4394dc138690ff5b1059aed86cc4b0ef5a6bd,1db9d20b427561c58b39f3446710417eec38370a6657ec455d3d9b65a6b79d6e,090972/per090972_1912_17396/p002.txt
per090972_1912_17396,3,ok,51960,a967424930b991a931dcc46e068f3920309f6db8b30c143dd6bf826bb9e86356,1db9d20b427561c58b39f3446710417eec38370a6657ec455d3d9b65a6b79d6e,090972/per090972_1912_17396/p003.txt
per090972_1912_17396,4,ok,43670,e19609e388c8121e4ee7fb8853d7336c1e9dae7cd644fdaa2a359c28218c8290,1db9d20b427561c58b39f3446710417eec38370a6657ec455d3d9b65a6b79d6e,090972/per090972_1912_17396/p004.txt
per090972_1912_17396,5,ok,39921,27ffff75fe662d6bb9990b4beaae9c55f6d732c9aaed6656e04afdcfa54e179c,1db9d20b427561c58b39f3446710417eec38370a6657ec455d3d9b65a6b79d6e,090972/per090972_1912_17396/p005.txt
per090972_1912_17396,6,ok,25541,2055c97837663a830ed11b0d364e305be653f30dd46ee00d4d0f31593247d0fa,1db9d20b427561c58b39f3446710417eec38370a6657ec455d3d9b65a6b79d6e,090972/per090972_1912_17396/p006.txt
per090972_1912_17396,7,ok,28064,4e00a8f558ff7bda151d2d12946d037e578fad04a6b17a99316bcf909f0493cf,1db9d20b427561c58b39f3446710417eec38370a6657ec455d3d9b65a6b79d6e,090972/per090972_1912_17396/p007.txt
