source_identifier,page_number,result_status,char_count,text_sha256,source_pdf_sha256,text_relpath
per090972_1907_15579,1,ok,40531,f1791e438344cec5995d3ddea07fe61f08ad9b4e5f7a5516f74cdfd389428431,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p001.txt
per090972_1907_15579,2,ok,44011,8af21f64452fe342fa836d977961ec6a10ad5dd30d9d08f16d87498785a25c3b,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p002.txt
per090972_1907_15579,3,ok,39238,f38d232688d512c9515c08eb578a2e8dc1db3681faf385803ac248bf3cda3483,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p003.txt
per090972_1907_15579,4,ok,43558,fe1f963a7256690f6d1469029f0e295115874b5998e6954670d0011a28a6f4aa,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p004.txt
per090972_1907_15579,5,ok,50015,9b1791485595c85d0e84e206a21c82fb6cebe7505f2c10e09168d25b0d30269d,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p005.txt
per090972_1907_15579,6,ok,39601,795da536a857d420145f0c5d73f4940ef0b28db7d21182c51705333a4ab269f6,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p006.txt
per090972_1907_15579,7,ok,26985,64e91e5b9d366f545569483863026cfc8a2723fa94b09a27895222a76634f88c,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p007.txt
per090972_1907_15579,8,ok,8066,9017af7dd8414202cbcc476534282b8d53f8c44f368909e177523d74e012b709,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p008.txt
per090972_1907_15579,9,ok,3991,36b4e73449897ec05a32b53608db1f5a18876ebe52f705cd484db86327857bae,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p009.txt
per090972_1907_15579,10,ok,3819,bc04edc7177863805c1f810649628258400fbd6b08660f54a3e3b7f85c2dde0b,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p010.txt
per090972_1907_15579,11,ok,2464,3efa76422afe5ed3a04b8653f4ab8785912b757083b7c9143cb06a113e3132fe,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p011.txt
per090972_1907_15579,12,ok,11689,d70f822c82b9320cb228f4de17cfaa09e94e78bc96678d0c4aacc9aa9acbc2a2,32716b98fc0b6681524e7db87dbb21c8a51b285ed0b654fbd575988d7fe78d46,090972/per090972_1907_15579/p012.txt
per090972_1907_15580,1,ok,41763,a68051e9a07d16dd9c95a34c1431265b531ae986e990e5f01149c328bbf5219e,7b0f397db9665641bdb3c6412a0464514fbbea0db9a3a2d871c8b8bb3b2761a6,090972/per090972_1907_15580/p001.txt
per090972_1907_15580,2,ok,42934,faf60dc65e95b264b0eee60c5fc3487e6a48ef45ba30decf058a943f4e3042fe,7b0f397db9665641bdb3c6412a0464514fbbea0db9a3a2d871c8b8bb3b2761a6,090972/per090972_1907_15580/p002.txt
per090972_1907_15580,3,ok,14520,e14fb68d206dca9f7d82bbec5ef26dee88b91804da5d7b5eea59713f6fe3a0b6,7b0f397db9665641bdb3c6412a0464514fbbea0db9a3a2d871c8b8bb3b2761a6,090972/per090972_1907_15580/p003.txt
per090972_1907_15580,4,ok,22993,dbd72a6dbcfb32a9bef221fa9026b4eaeaa80c1abfcef780002408f5fdbe003b,7b0f397db9665641bdb3c6412a0464514fbbea0db9a3a2d871c8b8bb3b2761a6,090972/per090972_1907_15580/p004.txt
per090972_1907_15581,1,ok,36946,ea568f710b7737985f7d7967cc759eee908fd357500987daa0fa9ac59c5496f5,c0fa32aeb984ed14778d10bcb897e53815bb587877d134601256e96f8422226b,090972/per090972_1907_15581/p001.txt
per090972_1907_15581,2,ok,37734,278771eb842adb49c5e432d4719252074cc86bbb303735aee0ac2929c7bcd4b2,c0fa32aeb984ed14778d10bcb897e53815bb587877d134601256e96f8422226b,090972/per090972_1907_15581/p002.txt
per090972_1907_15581,3,ok,39355,6927e21bb54cb6daad33eacfcb383c48138a7d07eda20d1d544ea8e1be621bd9,c0fa32aeb984ed14778d10bcb897e53815bb587877d134601256e96f8422226b,090972/per090972_1907_15581/p003.txt
per090972_1907_15581,4,ok,27586,97a52f9c1f8a32d1bdc79db5fb80e93fd95b4ddaf744d0fb84a024d1e8b5fe09,c0fa32aeb984ed14778d10bcb897e53815bb587877d134601256e96f8422226b,090972/per090972_1907_15581/p004.txt
per090972_1907_15582,1,ok,38406,4a8b0219afac7c8dfa4aba9c8a4ccdf8ef78b4ef3f8e6005cd943013d0393553,37a09f8f10237d3941d4391e91d25d5d0cddac90c056ff0d8cbaec8b1dd0e0b0,090972/per090972_1907_15582/p001.txt
per090972_1907_15582,2,ok,43171,da86b92e40c0afee08addb8a72b3a01322ddb8402416a4abd6950a687a666025,37a09f8f10237d3941d4391e91d25d5d0cddac90c056ff0d8cbaec8b1dd0e0b0,090972/per090972_1907_15582/p002.txt
per090972_1907_15582,3,ok,35769,c590913d8e8f00872b1b22188d56f7e508f551550dfad2e72fb138a6a19c7aa9,37a09f8f10237d3941d4391e91d25d5d0cddac90c056ff0d8cbaec8b1dd0e0b0,090972/per090972_1907_15582/p003.txt
per090972_1907_15582,4,ok,32888,199bed80aeef8083ecd02d229717e1fde046c7f9fffdeac70704e74ae93e2431,37a09f8f10237d3941d4391e91d25d5d0cddac90c056ff0d8cbaec8b1dd0e0b0,090972/per090972_1907_15582/p004.txt
per090972_1907_15583,1,ok,40879,e69255e04d17604ff573842f9b235423a8bce20d76d389fe4aeec27c9329e3ab,530895eeb3d54d2332bad9d6f2877867b714f3a21512d0994f958354fcc3c9cd,090972/per090972_1907_15583/p001.txt
per090972_1907_15583,2,ok,41946,9a6d9f5afd28bbbaec8b4e5bd10c278dbee1a045ed1d8ad3ab69fcd8be0baf59,530895eeb3d54d2332bad9d6f2877867b714f3a21512d0994f958354fcc3c9cd,090972/per090972_1907_15583/p002.txt
per090972_1907_15583,3,ok,44172,0547e297dce0d4fe37b9bedfa75356580db2555671e61b1f770319fda93cd630,530895eeb3d54d2332bad9d6f2877867b714f3a21512d0994f958354fcc3c9cd,090972/per090972_1907_15583/p003.txt
per090972_1907_15583,4,ok,55627,1df744f41af9122bf86731a9db527dc1de7f649060a3cc8eeb260f67fcf31eb6,530895eeb3d54d2332bad9d6f2877867b714f3a21512d0994f958354fcc3c9cd,090972/per090972_1907_15583/p004.txt
per090972_1907_15583,5,ok,38364,f56d0dd6c5bf9f02312bf16fb97836ba6731adc7adf10a32df398d7941f65278,530895eeb3d54d2332bad9d6f2877867b714f3a21512d0994f958354fcc3c9cd,090972/per090972_1907_15583/p005.txt
per090972_1907_15583,6,ok,30498,1532d69ec973f6b541cc4c721397eb8f7d25baf48c5c3a154d9975334370919f,530895eeb3d54d2332bad9d6f2877867b714f3a21512d0994f958354fcc3c9cd,090972/per090972_1907_15583/p006.txt
per090972_1907_15584,1,ok,39344,a0e4c5fc7f725cf7756f2b8862e53f2bd05815a00833af13c0d9d04193a52c79,7871e6319a3a3682f3b2db6fd34fe71881d2e01f5646a59df6e39015a4ce95b1,090972/per090972_1907_15584/p001.txt
per090972_1907_15584,2,ok,47028,bc0e48d3ba502c6603d637308ee5bb8fa67305b84979df8c4b54ff0bd661a5d8,7871e6319a3a3682f3b2db6fd34fe71881d2e01f5646a59df6e39015a4ce95b1,090972/per090972_1907_15584/p002.txt
per090972_1907_15584,3,ok,46834,1e29dbe03dce57824f849466fec3518584986c3516611420d12133edb7f5f074,7871e6319a3a3682f3b2db6fd34fe71881d2e01f5646a59df6e39015a4ce95b1,090972/per090972_1907_15584/p003.txt
per090972_1907_15584,4,ok,43480,50c830f60bfebf13984e583e739c78470f04d6a3240816099da5b94803e501a1,7871e6319a3a3682f3b2db6fd34fe71881d2e01f5646a59df6e39015a4ce95b1,090972/per090972_1907_15584/p004.txt
per090972_1907_15584,5,ok,33668,6b3663ffabf0747a9dae89044910a3cae34269c755203bf14de8198a68475e09,7871e6319a3a3682f3b2db6fd34fe71881d2e01f5646a59df6e39015a4ce95b1,090972/per090972_1907_15584/p005.txt
per090972_1907_15584,6,ok,28900,44d883a131e98bddd22aac4e41caa72baac8391e2946a63286c618cb0dafbdfa,7871e6319a3a3682f3b2db6fd34fe71881d2e01f5646a59df6e39015a4ce95b1,090972/per090972_1907_15584/p006.txt
per090972_1907_15585,1,ok,44273,93b9d7d9413acf64cb6e9b8c6ea68fa1f1b1007ab85f00dd50d96a56ba033bd5,cdba995ed93d81fbf7c2c5fdc6ae7e3538f603066937ffa3dac9accdd1853b24,090972/per090972_1907_15585/p001.txt
per090972_1907_15585,2,ok,40645,05d82b5c7c065298a2b34f1fd0af69b4b2d9a7a119e0d688ef97f0f05e9ad2e5,cdba995ed93d81fbf7c2c5fdc6ae7e3538f603066937ffa3dac9accdd1853b24,090972/per090972_1907_15585/p002.txt
per090972_1907_15585,3,ok,39584,4bb2879b6bbdf53c1c8fdd63fca8a19bdec0515fc2d6143776fa8f3e4180153f,cdba995ed93d81fbf7c2c5fdc6ae7e3538f603066937ffa3dac9accdd1853b24,090972/per090972_1907_15585/p003.txt
per090972_1907_15585,4,ok,30088,29eef678ea779a88ef826100541b6e02b01eb6fac9d7569d42d4198b78e5adb6,cdba995ed93d81fbf7c2c5fdc6ae7e3538f603066937ffa3dac9accdd1853b24,090972/per090972_1907_15585/p004.txt
per090972_1907_15586,1,ok,37372,7f84df1ee5f0caa964becc4d3871354ab687789809e02acb95ca17893819320b,0d98299743e09e389db543c4a52f143cc596bfb0f1aea84fc81f968f4bc99c59,090972/per090972_1907_15586/p001.txt
per090972_1907_15586,2,ok,43081,31ebfd4d3dfb0f62201d8e9374dccdeac256dd3c0df85007a87562528a2a3d85,0d98299743e09e389db543c4a52f143cc596bfb0f1aea84fc81f968f4bc99c59,090972/per090972_1907_15586/p002.txt
per090972_1907_15586,3,ok,37480,7f61a7bfcbfd8f78fc1e4a2cacc9232240fd5c091916e3d44e2385f6040bf3fc,0d98299743e09e389db543c4a52f143cc596bfb0f1aea84fc81f968f4bc99c59,090972/per090972_1907_15586/p003.txt
per090972_1907_15586,4,ok,34700,b03992310b8584d9facd20d2283cf5deaa33391d4831c5392c7633efac8b4312,0d98299743e09e389db543c4a52f143cc596bfb0f1aea84fc81f968f4bc99c59,090972/per090972_1907_15586/p004.txt
per090972_1907_15587,1,ok,40528,fa18524c7cbaf629395bbc296e83bfd710b95df8feef526900e238a016baf422,8c2ed7eae54af89d0d086b05d0a5ab636621f80406da75c36bb91364e96c5c7c,090972/per090972_1907_15587/p001.txt
per090972_1907_15587,2,ok,45457,0f153604cbbf1e96b12d94a69d6a687b68df518ed7b0237ebbe6810e7fe466b6,8c2ed7eae54af89d0d086b05d0a5ab636621f80406da75c36bb91364e96c5c7c,090972/per090972_1907_15587/p002.txt
per090972_1907_15587,3,ok,43963,ade7cb3883c92cc1d604cbcc3599004dc5492b6c1be209b12e1dbdaaa91f132b,8c2ed7eae54af89d0d086b05d0a5ab636621f80406da75c36bb91364e96c5c7c,090972/per090972_1907_15587/p003.txt
per090972_1907_15587,4,ok,50626,2ad137ce5372ada8fb24fc20dac9e02127deedcae104043225671bba6c5983c6,8c2ed7eae54af89d0d086b05d0a5ab636621f80406da75c36bb91364e96c5c7c,090972/per090972_1907_15587/p004.txt
per090972_1907_15587,5,ok,34723,8bc4be5584e45da1b58d4f1756f64570b4592bf052dd464381949097e18ae3be,8c2ed7eae54af89d0d086b05d0a5ab636621f80406da75c36bb91364e96c5c7c,090972/per090972_1907_15587/p005.txt
per090972_1907_15587,6,ok,28982,3bdf0dcd28efd08f2b27cda3105affaa515e75b3ff450775992357826f360cba,8c2ed7eae54af89d0d086b05d0a5ab636621f80406da75c36bb91364e96c5c7c,090972/per090972_1907_15587/p006.txt
per090972_1907_15588,1,ok,37070,57f940845e7934894309e218bb078bd516d20ad81b9c37e8ef188b37c8da239c,4f228d2f4f994083db1b80e9d3d426e3950e2edb3bd8fdb38d8c7737db1d600f,090972/per090972_1907_15588/p001.txt
per090972_1907_15588,2,ok,44667,e516eb83e25898eb282aea2eb7b84598dc67bc2343e934f511c096222524f09e,4f228d2f4f994083db1b80e9d3d426e3950e2edb3bd8fdb38d8c7737db1d600f,090972/per090972_1907_15588/p002.txt
per090972_1907_15588,3,ok,45905,d4aa08dbd2040797d5184ebab6f389b5aeb55aae88bcea6be2a17211f17847e6,4f228d2f4f994083db1b80e9d3d426e3950e2edb3bd8fdb38d8c7737db1d600f,090972/per090972_1907_15588/p003.txt
per090972_1907_15588,4,ok,38092,950a42e3252ab8dced62a3755c3a20b8ebfd05ca808f62e122ac6f264f4ecfcc,4f228d2f4f994083db1b80e9d3d426e3950e2edb3bd8fdb38d8c7737db1d600f,090972/per090972_1907_15588/p004.txt
per090972_1907_15588,5,ok,28197,8367ef42a288a908cb0cbe1a869922a4e0179d85ed1ebe7e87ece4315e010b36,4f228d2f4f994083db1b80e9d3d426e3950e2edb3bd8fdb38d8c7737db1d600f,090972/per090972_1907_15588/p005.txt
per090972_1907_15588,6,ok,23834,c293635750c95496ead1886f3b77417673a4d14f0f9f655dd5771a40426ac436,4f228d2f4f994083db1b80e9d3d426e3950e2edb3bd8fdb38d8c7737db1d600f,090972/per090972_1907_15588/p006.txt
per090972_1907_15589,1,ok,40159,185e22eb384716f408b9ef86924fc97b1b33ac0dfb479c9432ca29144a36056a,00370e90be269dd6932ee39966c1116e0acdf9fa2b2c08d0088426fc427716fe,090972/per090972_1907_15589/p001.txt
per090972_1907_15589,2,ok,43750,255c20717c2d40d5f87d29060cf78dab718ea7cfbf3415d5862af73e3fd57dd6,00370e90be269dd6932ee39966c1116e0acdf9fa2b2c08d0088426fc427716fe,090972/per090972_1907_15589/p002.txt
per090972_1907_15589,3,ok,35487,1976139ada8c8a6ce6b4f0d4c118f381faad04557d914bf44997f488f5a15404,00370e90be269dd6932ee39966c1116e0acdf9fa2b2c08d0088426fc427716fe,090972/per090972_1907_15589/p003.txt
