numero,status,http_status,pdf_sha256,byte_count,page_count,quando
1,ausente,404,,,,2026-07-18T00:56:17+00:00
2,ausente,404,,,,2026-07-18T00:56:17+00:00
3,ausente,404,,,,2026-07-18T00:56:17+00:00
4,ausente,404,,,,2026-07-18T00:56:17+00:00
5,ausente,404,,,,2026-07-18T00:56:17+00:00
6,ausente,404,,,,2026-07-18T00:56:17+00:00
16669,ok,200,8487d91eb5694d10af0eacf50eaff66d59a307b045056f60a15203fedb9f20e9,8915323,8,2026-07-18T00:56:22+00:00
16670,ok,200,cc623fc8d7e5c020cf35fb1e3bb0a2cc7525c4e0f5adfc4609fd8fd5d8542b83,6489395,6,2026-07-18T00:56:27+00:00
16671,ok,200,dbf043ecb7bf694a849d565d5babc0d13cabc000a8137385acef26f42bf69420,7159781,6,2026-07-18T00:56:32+00:00
16672,ok,200,f3328a671a283302c84a111ccd4c011e19b83dd4e86588e547a730a465d16e0a,7325065,6,2026-07-18T00:56:36+00:00
16673,ok,200,574b338d4f0ac853ef9b3f62c40645df1ccf8dcd97e11147625902f8e912c328,7012092,6,2026-07-18T00:56:41+00:00
16674,ok,200,f6eaf7c0b172fcd00f8557019a1ccaff9d867a0c14ca5d6c0393d83fe1d1376b,6869187,6,2026-07-18T00:56:46+00:00
16675,ok,200,f7985b9dac324b29c6e538fb2f533137d381010812c9120ef6938ead37911936,9721855,8,2026-07-18T00:56:50+00:00
16676,ok,200,f88c69fe07c72861f19388cbf51467b9660d29cd425aac4708753ad673ec6b76,7156037,6,2026-07-18T00:56:55+00:00
16677,ok,200,ade07d0cfaf2638c751c46befe235c5d4ce252b476e222e506413912db511c37,9184060,8,2026-07-18T00:57:00+00:00
16678,ok,200,73332b1b7cf902a832407a4559f657a8cd08959feda00293f44b530f4adec5f1,6915864,6,2026-07-18T00:57:05+00:00
16679,ok,200,a0418766ef38baceca88466340defe6e901443233b24e076b5ea5d4d62e7e77e,6959924,6,2026-07-18T00:57:09+00:00
16680,ok,200,d46ee864e4d6c71206d207015822ab24362c62a78ce6ef38cc9e83008db102d3,7096901,6,2026-07-18T00:57:14+00:00
16681,ok,200,68651d238fde8bb9c0526446b76bb2f5a29e09b9f222b938ce06da4da483d518,9435434,8,2026-07-18T00:57:20+00:00
16682,ok,200,c8072d781e2cebbc40a1f2731ee6150ab8d44fe6c9bf4e428d6c9ec950627620,7056773,6,2026-07-18T00:57:25+00:00
16683,ok,200,f6e19d5a7f87cede876d817085341743ec7d21a83348c8b8ca2d54ed1e496b2f,9206508,8,2026-07-18T00:57:30+00:00
16684,ok,200,4e4f8bc74ae5b5a5d25e280db3684147e1e5bf7726c9674a6f99c799dcf6c7f2,11824612,10,2026-07-18T00:57:35+00:00
16685,ok,200,2fdc189f8321d0d86d9398a23a0acd87fba9515d2a6b9ca47ce28fa01996ffba,7110846,6,2026-07-18T00:57:39+00:00
16686,ok,200,abf9cabe887ac5d4be4d14514ce19d2c876a4fa4566a8b103f2c608759a386e1,9074947,8,2026-07-18T00:57:44+00:00
16687,ok,200,53270e1d04d7822569c4293ad6a64f7b92f2e8b4037a9d6da983ad04b5d3807b,6989282,6,2026-07-18T00:57:49+00:00
16688,ok,200,13515ed35e6a5a22fbd0813662051d432084f29e138e76324482c6a048368b70,8743657,8,2026-07-18T00:57:53+00:00
16689,ok,200,b97bc42c81b5a451c77b519685e09783e52a3de62e4b3e0d059c64d9b0f394e3,9151688,8,2026-07-18T00:57:58+00:00
