numero,status,http_status,pdf_sha256,byte_count,page_count,quando
1,ausente,404,,,,2026-07-18T06:53:52+00:00
2,ausente,404,,,,2026-07-18T06:53:52+00:00
3,ausente,404,,,,2026-07-18T06:53:52+00:00
4,ausente,404,,,,2026-07-18T06:53:52+00:00
5,ausente,404,,,,2026-07-18T06:53:52+00:00
6,ausente,404,,,,2026-07-18T06:53:52+00:00
