ano,numero
1906,7755
1906,7756
1906,7757
1906,7758
1906,7759
1906,7760
1906,7761
1906,7762
1906,7763
1906,7764
1906,7765
1906,7766
1906,7767
1906,7768
1906,7769
1906,7770
1906,7771
1906,7772
1906,7773
1906,7774
1906,7775
1906,7776
1906,7777
1906,7778
1906,7779
1906,7780
1906,7781
1906,7782
1906,7788
1906,7789
1906,7790
1906,7791
1906,7792
1906,7793
1906,7794
1906,7795
1906,7796
1906,7797
1906,7798
1906,7799
1906,7800
1906,7801
1906,7802
1906,7803
1906,7804
1906,7805
1906,7806
1906,7807
1906,7808
1906,7809
1906,7810
1906,7811
1906,7812
1906,7814
1906,7815
1906,7816
1906,7817
1906,7818
1906,7819
1906,7820
1906,7821
1906,7822
1906,7823
1906,7824
1906,7825
1906,7826
1906,7827
1906,7828
1906,7829
1906,7830
1906,7831
1906,7832
1906,7833
1906,7834
1906,7835
1906,7836
1906,7837
1906,7838
1906,7839
1906,7840
1906,7841
1906,7842
1906,7843
1906,7844
1906,7845
1906,7846
1906,7847
1906,7848
1906,7849
1906,7852
1906,7853
1906,7854
1906,7855
1906,7856
1906,7857
1906,7858
1906,7859
1906,7860
1906,7861
1906,7862
1906,7863
1906,7864
1906,7865
1906,7866
1906,7867
1906,7868
1906,7869
1906,7870
1906,7871
1906,7872
1906,7873
1906,7874
1906,7875
1906,7876
1906,7877
1906,7878
1906,7879
1906,7880
1906,7881
1906,7882
1906,7883
1906,7884
1906,7885
1906,7886
1906,7887
1906,7888
1906,7889
1906,7890
1906,7891
1906,7892
1906,7893
1906,7894
1906,7895
1906,7896
1906,7897
1906,7898
1906,7899
1906,7900
1906,7901
1906,7902
1906,7903
1906,7904
1906,7905
1906,7906
1906,7907
1906,7908
1906,7909
1906,7910
1906,7911
1906,7912
1906,7913
1906,7914
1906,7915
1906,7916
1906,7917
1906,7918
1906,7919
1906,7920
1906,7921
1906,7922
1906,7923
1906,7924
1906,7925
1906,7926
1906,7927
1906,7928
1906,7929
1906,7930
1906,7931
1906,7932
1906,7933
1906,7934
1906,7935
1906,7936
1906,7937
1906,7938
1906,7939
1906,7940
1906,7942
1906,7943
1906,7944
1906,7945
1906,7946
1906,7947
1906,7948
1906,7949
1906,7950
1906,7951
1906,7952
1906,7953
1906,7954
1906,7955
1906,7956
1906,7957
1906,7958
1906,7959
1906,7960
1906,7961
1906,7962
1906,7963
1906,7964
1906,7965
1906,7966
1906,7968
1906,7969
1906,7970
1906,7971
1906,7972
1906,7973
1906,7974
1906,7975
1906,7976
1906,7977
1906,7978
1906,7979
1906,7980
1906,7981
1906,7982
1906,7983
1906,7984
1906,7985
1906,7986
1906,7987
1906,7988
1906,7989
1906,7990
1906,7991
1906,7992
1906,7993
1906,7994
1906,7995
1906,7996
1906,7997
1906,7998
1906,7999
1906,8000
1906,8001
1906,8002
1906,8003
1906,8004
1906,8005
1906,8006
1906,8007
1906,8008
1906,8009
1906,8010
1906,8011
1906,8012
1906,8013
1906,8014
1906,8015
1906,8016
1906,8017
1906,8018
1906,8019
1906,8020
1906,8021
1906,8022
1906,8023
1906,8024
1906,8025
1906,8026
1906,8027
1906,8028
1906,8029
1906,8030
1906,8031
1906,8032
1906,8033
1906,8034
1906,8035
1906,8036
1906,8037
1906,8038
1906,8039
1906,8040
1906,8041
1906,8042
1906,8043
1906,8044
1906,8045
1906,8046
1906,8047
1906,8048
1906,8049
1906,8050
1906,8051
1906,8052
1906,8053
1906,8054
1906,8055
1906,8056
1906,8057
1906,8058
1906,8059
1906,8060
1906,8061
1906,8062
1906,8063
1906,8065
1906,8066
1906,8067
1906,8068
1906,8069
1906,8070
1906,8071
1906,8072
1906,8073
1906,8074
1906,8075
1906,8076
1906,8077
1906,8078
1906,8079
1906,8080
1906,8081
1906,8082
1906,8083
1906,8084
1906,8085
1906,8086
1906,8087
1906,8088
1906,8089
1906,8090
1906,8091
1906,8092
1906,8093
1906,8094
1906,8095
1906,8096
1906,8097
1906,8098
1906,8099
1906,8100
1906,8101
1906,8102
1906,8103
1906,8104
1906,8105
1906,8106
1906,8107
1906,8108
1906,8109
1906,8110
1906,8111
1906,8112
1906,8113
1906,8114
1906,8115
1906,8116
1906,8117
1906,8118
1906,8119
1906,8120
1906,8121
1906,8122
1906,8123
1906,8124
1907,5254
1907,8125
1907,8126
1907,8127
1907,8128
1907,8129
1907,8130
1907,8131
1907,8132
1907,8133
1907,8134
1907,8135
1907,8136
1907,8137
1907,8138
1907,8139
1907,8140
1907,8141
1907,8142
1907,8143
1907,8144
1907,8145
1907,8146
1907,8147
1907,8148
1907,8149
1907,8150
1907,8151
1907,8152
1907,8153
1907,8154
